Question,Answer,Metadata
What is PayVantage ?,"With PayVantage/Connected Banking, customer are not required to approach the bank for integration. They can simply register themselves with pre-integrated ERP software with Axis Bank and perform accounting and banking on a single platform.",qna_id:9001_api_portal
Is Axis Account required for PayVantage ?,Yes Axis Bank account is required for PayVantage/Connected Banking.,qna_id:9002_api_portal
Is PayVantage/Connected Banking available for RIB and CIB customers?,PayVantage/Connected Banking is available for both RIB and CIB customers.,qna_id:9003_api_portal
Is PayVantage/Connected Banking available for ETB or NTB customers?,PayVantage/Connected Banking is available for ETB customers.,qna_id:9004_api_portal
What are the key features of PayVantage/Connected Banking?,"The key features of PayVantage/Connected Banking are as follows:\nBulk payment, beneficiary management, beneficiary validation, balance enquiry, mini statement, account statement, IFSC validation, fetch beneficiary, Standing Instructions, request cheque book and stop cheque payment.",qna_id:9005_api_portal
What are the benefits of PayVantage/Connected Banking?,"The benefits of PayVantage/Connected Banking are as follows:\nConnected Banking provides a platform for making payments to your vendors using the CIB/RIB facility of the Bank and automates the reconciliation of your accounting entries which saves time, cost and enhances your business efficiency.",qna_id:9006_api_portal
What is the validity of the Access token in PayVantage?,The validity of the Access token in PayVantage 30 days.,qna_id:9007_api_portal
What happens when Access token expires?,"When Access token expires, the user needs to re-register, after which they will receive a new token. \nNote: Old token is now invalid, it will not work in the subsequent requests.",qna_id:9008_api_portal
What happens in cases where we re-register a user in PayVantage?,"In cases where we re-register a user in PayVantage, a new token is generated and sent back to partner irrespective of old token is expired or not.",qna_id:9009_api_portal
Is there a cooling period for a newly added beneficiary in PayVantage?,There is a cooling period of 30 mins for newly added beneficiary in PayVantage,qna_id:9010_api_portal
What kind of Axis Bank account is required for PayVantage?,"Axis Bank account required for PayVantage are as follows:\nCurrent Account holders (individual, sole prop and organization)",qna_id:9011_api_portal
What are 1GEN and 2GEN rules?,1GEN and 2GEN rules are as follows:\n2 Gen refers to maker-checker journey flow while 1 Gen is single user journey flow.,qna_id:9012_api_portal
"Once the request is raised, how long does it take to approve it?","Once maker makes a request, the checker has to login to CIB and approve the request.",qna_id:9013_api_portal
When is the checker mapped?,The checker is mapped during setting up of the CIB account for the corporate.,qna_id:9014_api_portal
What services/APIs require 2FA in PayVantage?,"The services/APIs which require 2FA in PayVantage are as follows:\nUser registration, Account Statement and Fund transfer.",qna_id:9015_api_portal
How many call back events are there in PV 2.0 module?,"There are 3 call back events in PV 2.0 module - user registration, account statement and fund transfer.",qna_id:9016_api_portal
What is the difference between DV call and S2S Call APIs?,"The difference between DV call and S2S Call APIs are as follows: \nS2S call is an automated response triggered during a user registration, account statement and fund transfer while a DV response requires an API call from the user.",qna_id:9017_api_portal
"What is the difference between a partner ID, userID and partneruserID in PayVantage?","The difference between a partner ID, userID and partneruserID in PayVantage are as follows:\nPartner ID: Name of a partner registered with the Bank.\nUserID: Customer ID of a partner\nPartneruserID: Identification ID mapped at partner’s end for each user.",qna_id:9018_api_portal
What are the prerequisites to initiate PayVantage integration?,"The prerequisites to initiate PayVantage integration are IP, selfsigned CSR, callback URL, SSL/Domain certificate and mobile number.",qna_id:9019_api_portal
